cve_id,published,vulnStatus,baseScore,baseSeverity,cvssVersion
CVE-2021-3002,2021-01-01T19:15:11.077,Modified,6.1,MEDIUM,3.1
CVE-2021-3004,2021-01-03T04:15:12.263,Modified,7.5,HIGH,3.1
CVE-2021-3005,2021-01-03T04:15:12.310,Modified,4.3,MEDIUM,3.1
CVE-2021-3006,2021-01-03T06:15:12.067,Modified,7.5,HIGH,3.1
CVE-2021-21494,2021-01-04T03:15:13.387,Modified,4.8,MEDIUM,3.1
CVE-2021-21495,2021-01-04T03:15:13.480,Modified,8.8,HIGH,3.1
CVE-2021-3007,2021-01-04T03:15:13.527,Modified,9.8,CRITICAL,3.1
CVE-2021-3014,2021-01-04T19:15:15.390,Modified,6.1,MEDIUM,3.1
CVE-2021-3018,2021-01-05T05:15:10.813,Modified,9.8,CRITICAL,3.1
CVE-2021-3019,2021-01-05T05:15:10.907,Modified,7.5,HIGH,3.1
CVE-2021-3021,2021-01-05T16:15:15.937,Modified,9.8,CRITICAL,3.1
CVE-2021-21234,2021-01-05T18:15:16.443,Modified,7.7,HIGH,3.1
CVE-2021-22492,2021-01-05T18:15:18.740,Modified,8.8,HIGH,3.1
CVE-2021-22493,2021-01-05T18:15:18.803,Rejected,,,
CVE-2021-22494,2021-01-05T18:15:18.850,Modified,5.5,MEDIUM,3.1
CVE-2021-22495,2021-01-05T18:15:18.897,Modified,5.5,MEDIUM,3.1
CVE-2021-3022,2021-01-05T18:15:19.020,Modified,5.5,MEDIUM,3.1
CVE-2021-3026,2021-01-05T23:15:15.703,Modified,6.1,MEDIUM,3.1
CVE-2021-21235,2021-01-06T02:15:12.967,Modified,6.5,MEDIUM,3.1
CVE-2021-21236,2021-01-06T17:15:23.733,Modified,5.7,MEDIUM,3.1
CVE-2021-3029,2021-01-07T14:15:12.720,Modified,9.8,CRITICAL,3.1
CVE-2021-3011,2021-01-07T16:15:12.120,Modified,4.2,MEDIUM,3.1
CVE-2021-23241,2021-01-07T21:15:14.040,Modified,5.3,MEDIUM,3.1
CVE-2021-23242,2021-01-07T21:15:14.370,Modified,5.3,MEDIUM,3.1
CVE-2021-1051,2021-01-08T01:15:14.307,Modified,8.4,HIGH,3.1
CVE-2021-1052,2021-01-08T01:15:14.400,Modified,7.8,HIGH,3.1
CVE-2021-1053,2021-01-08T01:15:14.463,Modified,5.5,MEDIUM,3.1
CVE-2021-1054,2021-01-08T01:15:14.510,Modified,5.5,MEDIUM,3.1
CVE-2021-1055,2021-01-08T01:15:14.573,Modified,5.3,MEDIUM,3.1
CVE-2021-1056,2021-01-08T01:15:14.620,Modified,7.1,HIGH,3.1
CVE-2021-3025,2021-01-08T07:15:11.920,Modified,8.8,HIGH,3.1
CVE-2021-1057,2021-01-08T15:15:12.000,Modified,7.8,HIGH,3.1
CVE-2021-1058,2021-01-08T15:15:12.063,Modified,7.1,HIGH,3.1
CVE-2021-1059,2021-01-08T15:15:12.157,Modified,7.8,HIGH,3.1
CVE-2021-1060,2021-01-08T15:15:12.203,Modified,7.1,HIGH,3.1
CVE-2021-1061,2021-01-08T15:15:12.280,Modified,6.3,MEDIUM,3.1
CVE-2021-1062,2021-01-08T15:15:12.343,Modified,7.1,HIGH,3.1
CVE-2021-1063,2021-01-08T15:15:12.407,Modified,7.8,HIGH,3.1
CVE-2021-1064,2021-01-08T15:15:12.453,Modified,7.1,HIGH,3.1
CVE-2021-1065,2021-01-08T15:15:12.563,Modified,7.1,HIGH,3.1
CVE-2021-1066,2021-01-08T15:15:12.750,Modified,5.5,MEDIUM,3.1
CVE-2021-3111,2021-01-08T15:15:12.953,Modified,4.8,MEDIUM,3.1
CVE-2021-21106,2021-01-08T19:15:14.880,Modified,9.6,CRITICAL,3.1
CVE-2021-21107,2021-01-08T19:15:14.927,Modified,9.6,CRITICAL,3.1
CVE-2021-21108,2021-01-08T19:15:14.990,Modified,9.6,CRITICAL,3.1
CVE-2021-21109,2021-01-08T19:15:15.037,Modified,9.6,CRITICAL,3.1
CVE-2021-21110,2021-01-08T19:15:15.100,Modified,9.6,CRITICAL,3.1
CVE-2021-21111,2021-01-08T19:15:15.163,Modified,9.6,CRITICAL,3.1
CVE-2021-21112,2021-01-08T19:15:15.210,Modified,8.8,HIGH,3.1
CVE-2021-21113,2021-01-08T19:15:15.273,Modified,8.8,HIGH,3.1
CVE-2021-21114,2021-01-08T19:15:15.333,Modified,8.8,HIGH,3.1
CVE-2021-21115,2021-01-08T19:15:15.397,Modified,9.6,CRITICAL,3.1
CVE-2021-21116,2021-01-08T19:15:15.443,Modified,8.8,HIGH,3.1
CVE-2021-3116,2021-01-11T05:15:10.987,Modified,7.5,HIGH,3.1
CVE-2021-3118,2021-01-11T06:15:13.320,Modified,9.8,CRITICAL,3.1
CVE-2021-3121,2021-01-11T06:15:13.460,Modified,8.6,HIGH,3.1
CVE-2021-23253,2021-01-11T16:15:15.663,Modified,5.3,MEDIUM,3.1
CVE-2021-0342,2021-01-11T21:15:13.313,Modified,6.7,MEDIUM,3.1
CVE-2021-21241,2021-01-11T21:15:13.377,Modified,7.4,HIGH,3.1
CVE-2021-0301,2021-01-11T22:15:12.893,Modified,6.7,MEDIUM,3.1
CVE-2021-0303,2021-01-11T22:15:12.987,Modified,7.0,HIGH,3.1
CVE-2021-0304,2021-01-11T22:15:13.033,Modified,5.5,MEDIUM,3.1
CVE-2021-0306,2021-01-11T22:15:13.080,Modified,7.8,HIGH,3.1
CVE-2021-0307,2021-01-11T22:15:13.127,Modified,7.8,HIGH,3.1
CVE-2021-0308,2021-01-11T22:15:13.173,Modified,6.8,MEDIUM,3.1
CVE-2021-0309,2021-01-11T22:15:13.220,Modified,5.5,MEDIUM,3.1
CVE-2021-0310,2021-01-11T22:15:13.267,Modified,7.8,HIGH,3.1
CVE-2021-0311,2021-01-11T22:15:13.313,Modified,6.5,MEDIUM,3.1
CVE-2021-0312,2021-01-11T22:15:13.360,Modified,6.5,MEDIUM,3.1
CVE-2021-0313,2021-01-11T22:15:13.407,Modified,7.5,HIGH,3.1
CVE-2021-0315,2021-01-11T22:15:13.457,Modified,7.3,HIGH,3.1
CVE-2021-0316,2021-01-11T22:15:13.503,Modified,9.8,CRITICAL,3.1
CVE-2021-0317,2021-01-11T22:15:13.550,Modified,7.8,HIGH,3.1
CVE-2021-0318,2021-01-11T22:15:13.597,Modified,7.8,HIGH,3.1
CVE-2021-0319,2021-01-11T22:15:13.643,Modified,7.3,HIGH,3.1
CVE-2021-0320,2021-01-11T22:15:13.690,Modified,4.7,MEDIUM,3.1
CVE-2021-0321,2021-01-11T22:15:13.737,Modified,5.5,MEDIUM,3.1
CVE-2021-0322,2021-01-11T22:15:13.783,Modified,5.0,MEDIUM,3.1
CVE-2021-23239,2021-01-12T09:15:14.043,Modified,2.5,LOW,3.1
CVE-2021-23240,2021-01-12T09:15:14.107,Modified,7.8,HIGH,3.1
CVE-2021-21445,2021-01-12T15:15:14.360,Modified,5.4,MEDIUM,3.1
CVE-2021-21446,2021-01-12T15:15:14.470,Modified,7.5,HIGH,3.1
CVE-2021-21447,2021-01-12T15:15:14.547,Modified,5.4,MEDIUM,3.1
CVE-2021-21448,2021-01-12T15:15:14.610,Modified,6.5,MEDIUM,3.1
CVE-2021-21449,2021-01-12T15:15:14.703,Modified,8.8,HIGH,3.1
CVE-2021-21450,2021-01-12T15:15:14.813,Modified,8.8,HIGH,3.1
CVE-2021-21451,2021-01-12T15:15:14.907,Modified,8.8,HIGH,3.1
CVE-2021-21452,2021-01-12T15:15:14.987,Modified,8.8,HIGH,3.1
CVE-2021-21453,2021-01-12T15:15:15.047,Modified,8.8,HIGH,3.1
CVE-2021-21454,2021-01-12T15:15:15.110,Modified,8.8,HIGH,3.1
CVE-2021-21455,2021-01-12T15:15:15.190,Modified,8.8,HIGH,3.1
CVE-2021-21456,2021-01-12T15:15:15.250,Modified,8.8,HIGH,3.1
CVE-2021-21457,2021-01-12T15:15:15.313,Modified,8.8,HIGH,3.1
CVE-2021-21458,2021-01-12T15:15:15.390,Modified,8.8,HIGH,3.1
CVE-2021-21459,2021-01-12T15:15:15.437,Modified,8.8,HIGH,3.1
CVE-2021-21460,2021-01-12T15:15:15.517,Modified,8.8,HIGH,3.1
CVE-2021-21461,2021-01-12T15:15:15.593,Modified,8.8,HIGH,3.1
CVE-2021-21462,2021-01-12T15:15:15.657,Modified,8.8,HIGH,3.1
CVE-2021-21463,2021-01-12T15:15:15.720,Modified,8.8,HIGH,3.1
CVE-2021-21464,2021-01-12T15:15:15.813,Modified,4.3,MEDIUM,3.1
CVE-2021-21465,2021-01-12T15:15:15.860,Modified,9.9,CRITICAL,3.1
CVE-2021-21466,2021-01-12T15:15:15.953,Modified,8.8,HIGH,3.1
CVE-2021-21467,2021-01-12T15:15:16.033,Modified,4.3,MEDIUM,3.1
CVE-2021-21468,2021-01-12T15:15:16.093,Modified,6.5,MEDIUM,3.1
CVE-2021-21469,2021-01-12T15:15:16.187,Modified,7.5,HIGH,3.1
CVE-2021-21470,2021-01-12T15:15:16.250,Modified,4.4,MEDIUM,3.1
CVE-2021-21471,2021-01-12T15:15:16.343,Modified,6.5,MEDIUM,3.1
CVE-2021-3129,2021-01-12T15:15:16.453,Analyzed,9.8,CRITICAL,3.1
CVE-2021-3133,2021-01-12T19:15:13.070,Modified,6.5,MEDIUM,3.1
CVE-2021-1636,2021-01-12T20:15:30.167,Modified,8.8,HIGH,3.1
CVE-2021-1637,2021-01-12T20:15:30.213,Modified,5.5,MEDIUM,3.1
CVE-2021-1638,2021-01-12T20:15:30.277,Modified,7.7,HIGH,3.1
CVE-2021-1641,2021-01-12T20:15:30.337,Modified,5.4,MEDIUM,3.1
CVE-2021-1642,2021-01-12T20:15:30.400,Modified,7.8,HIGH,3.1
CVE-2021-1643,2021-01-12T20:15:30.477,Modified,7.8,HIGH,3.1
CVE-2021-1644,2021-01-12T20:15:30.540,Modified,7.8,HIGH,3.1
CVE-2021-1645,2021-01-12T20:15:30.603,Modified,5.5,MEDIUM,3.1
CVE-2021-1646,2021-01-12T20:15:30.667,Modified,7.8,HIGH,3.1
CVE-2021-1647,2021-01-12T20:15:30.727,Analyzed,7.8,HIGH,3.1
CVE-2021-1648,2021-01-12T20:15:30.790,Modified,7.8,HIGH,3.1
CVE-2021-1649,2021-01-12T20:15:30.837,Modified,7.8,HIGH,3.1
CVE-2021-1650,2021-01-12T20:15:30.900,Modified,7.8,HIGH,3.1
CVE-2021-1651,2021-01-12T20:15:30.963,Modified,7.8,HIGH,3.1
CVE-2021-1652,2021-01-12T20:15:31.027,Modified,7.8,HIGH,3.1
CVE-2021-1653,2021-01-12T20:15:31.087,Modified,7.8,HIGH,3.1
CVE-2021-1654,2021-01-12T20:15:31.150,Modified,7.8,HIGH,3.1
CVE-2021-1655,2021-01-12T20:15:31.213,Modified,7.8,HIGH,3.1
CVE-2021-1656,2021-01-12T20:15:31.277,Modified,5.5,MEDIUM,3.1
CVE-2021-1657,2021-01-12T20:15:31.340,Modified,7.8,HIGH,3.1
CVE-2021-1658,2021-01-12T20:15:31.400,Modified,8.8,HIGH,3.1
CVE-2021-1659,2021-01-12T20:15:31.463,Modified,7.8,HIGH,3.1
CVE-2021-1660,2021-01-12T20:15:31.510,Modified,8.8,HIGH,3.1
CVE-2021-1661,2021-01-12T20:15:31.573,Modified,7.8,HIGH,3.1
CVE-2021-1662,2021-01-12T20:15:31.637,Modified,7.8,HIGH,3.1
