week,ycrit
2022-03-28 00:00:00+00:00,214
2022-04-04 00:00:00+00:00,292
2022-04-11 00:00:00+00:00,343
2022-04-18 00:00:00+00:00,460
2022-04-25 00:00:00+00:00,212
2022-05-02 00:00:00+00:00,187
2022-05-09 00:00:00+00:00,287
2022-05-16 00:00:00+00:00,442
2022-05-23 00:00:00+00:00,231
2022-05-30 00:00:00+00:00,206
2022-06-06 00:00:00+00:00,314
2022-06-13 00:00:00+00:00,223
2022-06-20 00:00:00+00:00,444
2022-06-27 00:00:00+00:00,220
2022-07-04 00:00:00+00:00,167
2022-07-11 00:00:00+00:00,211
2022-07-18 00:00:00+00:00,331
2022-07-25 00:00:00+00:00,301
2022-08-01 00:00:00+00:00,247
2022-08-08 00:00:00+00:00,242
2022-08-15 00:00:00+00:00,343
2022-08-22 00:00:00+00:00,260
2022-08-29 00:00:00+00:00,392
2022-09-05 00:00:00+00:00,210
2022-09-12 00:00:00+00:00,275
2022-09-19 00:00:00+00:00,513
2022-09-26 00:00:00+00:00,318
2022-10-03 00:00:00+00:00,160
2022-10-10 00:00:00+00:00,133
2022-10-17 00:00:00+00:00,448
2022-10-24 00:00:00+00:00,215
2022-10-31 00:00:00+00:00,295
2022-11-07 00:00:00+00:00,266
2022-11-14 00:00:00+00:00,318
2022-11-21 00:00:00+00:00,280
2022-11-28 00:00:00+00:00,202
2022-12-05 00:00:00+00:00,216
2022-12-12 00:00:00+00:00,265
2022-12-19 00:00:00+00:00,396
2022-12-26 00:00:00+00:00,333
2023-01-02 00:00:00+00:00,180
2023-01-09 00:00:00+00:00,208
2023-01-16 00:00:00+00:00,315
2023-01-23 00:00:00+00:00,250
2023-01-30 00:00:00+00:00,337
2023-02-06 00:00:00+00:00,282
2023-02-13 00:00:00+00:00,268
2023-02-20 00:00:00+00:00,426
2023-02-27 00:00:00+00:00,243
2023-03-06 00:00:00+00:00,214
2023-03-13 00:00:00+00:00,235
2023-03-20 00:00:00+00:00,309
2023-03-27 00:00:00+00:00,371
2023-04-03 00:00:00+00:00,404
2023-04-10 00:00:00+00:00,277
2023-04-17 00:00:00+00:00,432
2023-04-24 00:00:00+00:00,282
2023-05-01 00:00:00+00:00,200
2023-05-08 00:00:00+00:00,237
2023-05-15 00:00:00+00:00,438
2023-05-22 00:00:00+00:00,234
2023-05-29 00:00:00+00:00,272
2023-06-05 00:00:00+00:00,319
2023-06-12 00:00:00+00:00,313
2023-06-19 00:00:00+00:00,383
2023-06-26 00:00:00+00:00,276
2023-07-03 00:00:00+00:00,206
2023-07-10 00:00:00+00:00,353
2023-07-17 00:00:00+00:00,453
2023-07-24 00:00:00+00:00,233
2023-07-31 00:00:00+00:00,231
2023-08-07 00:00:00+00:00,275
2023-08-14 00:00:00+00:00,507
2023-08-21 00:00:00+00:00,247
2023-08-28 00:00:00+00:00,269
2023-09-04 00:00:00+00:00,260
2023-09-11 00:00:00+00:00,323
2023-09-18 00:00:00+00:00,258
2023-09-25 00:00:00+00:00,261
2023-10-02 00:00:00+00:00,303
2023-10-09 00:00:00+00:00,309
2023-10-16 00:00:00+00:00,486
2023-10-23 00:00:00+00:00,289
2023-10-30 00:00:00+00:00,421
2023-11-06 00:00:00+00:00,329
2023-11-13 00:00:00+00:00,319
2023-11-20 00:00:00+00:00,441
2023-11-27 00:00:00+00:00,216
2023-12-04 00:00:00+00:00,367
2023-12-11 00:00:00+00:00,320
2023-12-18 00:00:00+00:00,450
2023-12-25 00:00:00+00:00,336
2024-01-01 00:00:00+00:00,268
2024-01-08 00:00:00+00:00,327
2024-01-15 00:00:00+00:00,260
2024-01-22 00:00:00+00:00,169
2024-01-29 00:00:00+00:00,98
2024-02-05 00:00:00+00:00,125
2024-02-12 00:00:00+00:00,108
