cve_id,published,vulnStatus,baseScore,baseSeverity,cvssVersion
CVE-2022-22293,2022-01-02T00:15:09.673,Modified,5.4,MEDIUM,3.1
CVE-2022-0080,2022-01-02T12:15:07.690,Modified,9.8,CRITICAL,3.1
CVE-2022-0079,2022-01-03T03:15:07.013,Modified,5.3,MEDIUM,3.1
CVE-2022-0083,2022-01-04T07:15:07.153,Modified,5.3,MEDIUM,3.1
CVE-2022-20012,2022-01-04T16:15:10.167,Modified,7.8,HIGH,3.1
CVE-2022-20013,2022-01-04T16:15:10.237,Modified,6.4,MEDIUM,3.1
CVE-2022-20014,2022-01-04T16:15:10.287,Modified,6.7,MEDIUM,3.1
CVE-2022-20015,2022-01-04T16:15:10.333,Modified,4.4,MEDIUM,3.1
CVE-2022-20016,2022-01-04T16:15:10.383,Modified,6.7,MEDIUM,3.1
CVE-2022-20018,2022-01-04T16:15:10.440,Modified,4.4,MEDIUM,3.1
CVE-2022-20019,2022-01-04T16:15:10.493,Modified,5.5,MEDIUM,3.1
CVE-2022-20020,2022-01-04T16:15:10.547,Modified,5.5,MEDIUM,3.1
CVE-2022-20021,2022-01-04T16:15:10.600,Modified,6.5,MEDIUM,3.1
CVE-2022-20022,2022-01-04T16:15:10.653,Modified,6.5,MEDIUM,3.1
CVE-2022-20023,2022-01-04T16:15:10.703,Modified,6.5,MEDIUM,3.1
CVE-2022-0086,2022-01-04T18:15:08.257,Modified,9.8,CRITICAL,3.1
CVE-2022-21643,2022-01-04T20:15:07.797,Modified,10.0,CRITICAL,3.1
CVE-2022-21644,2022-01-04T20:15:07.860,Modified,9.1,CRITICAL,3.1
CVE-2022-21647,2022-01-04T20:15:07.930,Modified,9.8,CRITICAL,3.1
CVE-2022-21648,2022-01-04T20:15:08.003,Modified,8.2,HIGH,3.1
CVE-2022-21649,2022-01-04T21:15:07.883,Modified,7.6,HIGH,3.1
CVE-2022-21650,2022-01-04T21:15:07.943,Modified,7.6,HIGH,3.1
CVE-2022-22107,2022-01-05T15:15:07.720,Modified,4.3,MEDIUM,3.1
CVE-2022-22108,2022-01-05T15:15:07.787,Modified,4.3,MEDIUM,3.1
CVE-2022-22109,2022-01-05T15:15:07.857,Modified,5.4,MEDIUM,3.1
CVE-2022-22110,2022-01-05T15:15:07.923,Modified,7.5,HIGH,3.1
CVE-2022-22111,2022-01-05T15:15:07.990,Modified,8.8,HIGH,3.1
CVE-2022-21642,2022-01-05T19:15:09.053,Modified,4.3,MEDIUM,3.1
CVE-2022-21651,2022-01-05T20:15:08.020,Modified,6.8,MEDIUM,3.1
CVE-2022-21652,2022-01-05T20:15:08.117,Modified,8.1,HIGH,3.1
CVE-2022-21653,2022-01-05T21:15:07.890,Modified,7.5,HIGH,3.1
CVE-2022-0121,2022-01-06T03:15:06.790,Modified,8.0,HIGH,3.1
CVE-2022-0122,2022-01-06T05:15:09.490,Modified,6.1,MEDIUM,3.1
CVE-2022-22704,2022-01-06T05:15:09.580,Modified,9.8,CRITICAL,3.1
CVE-2022-22707,2022-01-06T06:15:07.243,Modified,5.9,MEDIUM,3.1
CVE-2022-0128,2022-01-06T17:15:07.883,Modified,7.8,HIGH,3.1
CVE-2022-21661,2022-01-06T23:15:07.933,Analyzed,8.0,HIGH,3.1
CVE-2022-21662,2022-01-06T23:15:08.003,Modified,8.0,HIGH,3.1
CVE-2022-21663,2022-01-06T23:15:08.067,Modified,7.2,HIGH,3.1
CVE-2022-21664,2022-01-06T23:15:08.130,Modified,8.8,HIGH,3.1
CVE-2022-0132,2022-01-10T14:12:26.720,Modified,7.5,HIGH,3.1
CVE-2022-0133,2022-01-10T14:12:27.957,Modified,7.5,HIGH,3.1
CVE-2022-21667,2022-01-10T14:12:31.747,Modified,7.5,HIGH,3.1
CVE-2022-21823,2022-01-10T14:12:32.757,Modified,5.5,MEDIUM,3.1
CVE-2022-22263,2022-01-10T14:12:33.613,Modified,5.5,MEDIUM,3.1
CVE-2022-22264,2022-01-10T14:12:34.870,Modified,7.7,HIGH,3.1
