cve_id,published,vulnStatus,baseScore,baseSeverity,cvssVersion
CVE-2022-0010,2023-05-22 08:15:08.920000+00:00,Modified,7.8,HIGH,3.1
CVE-2022-0012,2022-01-12 18:15:08.010000+00:00,Modified,7.1,HIGH,3.1
CVE-2022-0014,2022-01-12 18:15:08.133000+00:00,Modified,7.3,HIGH,3.1
CVE-2022-0015,2022-01-12 18:15:08.197000+00:00,Modified,7.8,HIGH,3.1
CVE-2022-0016,2022-02-10 18:15:08.503000+00:00,Modified,7.8,HIGH,3.1
CVE-2022-0017,2022-02-10 18:15:08.563000+00:00,Modified,7.8,HIGH,3.1
CVE-2022-0024,2022-05-11 17:15:09.167000+00:00,Modified,7.2,HIGH,3.1
CVE-2022-0028,2022-08-10 16:15:08.343000+00:00,Analyzed,8.6,HIGH,3.1
CVE-2022-0030,2022-10-12 17:15:10.493000+00:00,Modified,8.1,HIGH,3.1
CVE-2022-0070,2022-04-19 23:15:13.177000+00:00,Modified,8.8,HIGH,3.1
CVE-2022-0071,2022-04-19 23:15:13.243000+00:00,Modified,8.8,HIGH,3.1
CVE-2022-0073,2022-10-27 20:15:12.740000+00:00,Modified,8.8,HIGH,3.1
CVE-2022-0074,2022-10-27 20:15:12.917000+00:00,Modified,8.8,HIGH,3.1
CVE-2022-0080,2022-01-02 12:15:07.690000+00:00,Modified,9.8,CRITICAL,3.1
CVE-2022-0084,2022-08-26 18:15:08.487000+00:00,Modified,7.5,HIGH,3.1
CVE-2022-0086,2022-01-04 18:15:08.257000+00:00,Modified,9.8,CRITICAL,3.1
CVE-2022-0088,2022-04-03 09:15:08.897000+00:00,Modified,7.4,HIGH,3.1
CVE-2022-0096,2022-02-12 00:15:07.140000+00:00,Modified,8.8,HIGH,3.1
CVE-2022-0097,2022-02-12 00:15:07.183000+00:00,Modified,9.6,CRITICAL,3.1
CVE-2022-0098,2022-02-12 00:15:07.227000+00:00,Modified,8.8,HIGH,3.1
CVE-2022-0099,2022-02-12 00:15:07.270000+00:00,Modified,8.8,HIGH,3.1
CVE-2022-0100,2022-02-12 00:15:07.310000+00:00,Modified,8.8,HIGH,3.1
