cve_id,published,vulnStatus,baseScore,baseSeverity,cvssVersion
CVE-2019-3494,2019-01-01T15:29:00.240,Modified,7.5,HIGH,3.0
CVE-2019-3500,2019-01-02T07:29:00.197,Modified,7.8,HIGH,3.1
CVE-2019-3501,2019-01-02T13:29:00.283,Modified,4.8,MEDIUM,3.0
CVE-2019-3572,2019-01-02T15:29:00.330,Modified,6.5,MEDIUM,3.0
CVE-2019-3573,2019-01-02T15:29:00.360,Modified,5.5,MEDIUM,3.0
CVE-2019-3574,2019-01-02T15:29:00.423,Modified,7.8,HIGH,3.0
CVE-2019-3576,2019-01-02T17:29:00.267,Modified,9.8,CRITICAL,3.0
CVE-2019-3577,2019-01-02T17:29:00.300,Modified,9.8,CRITICAL,3.0
CVE-2019-3580,2019-01-03T01:29:00.490,Modified,7.5,HIGH,3.0
CVE-2019-3701,2019-01-03T16:29:00.553,Modified,4.4,MEDIUM,3.0
CVE-2019-3575,2019-01-03T19:29:01.727,Modified,7.8,HIGH,3.0
CVE-2019-3905,2019-01-03T19:29:01.757,Modified,10.0,CRITICAL,3.0
CVE-2019-5005,2019-01-03T23:29:00.337,Modified,5.5,MEDIUM,3.0
CVE-2019-5006,2019-01-03T23:29:00.370,Modified,5.5,MEDIUM,3.0
CVE-2019-5007,2019-01-03T23:29:00.417,Modified,7.1,HIGH,3.0
CVE-2019-5009,2019-01-04T14:29:00.237,Modified,7.2,HIGH,3.1
CVE-2019-5310,2019-01-04T14:29:00.457,Modified,6.1,MEDIUM,3.0
CVE-2019-5311,2019-01-04T15:29:00.563,Modified,6.1,MEDIUM,3.0
CVE-2019-5312,2019-01-04T16:29:00.307,Analyzed,9.8,CRITICAL,3.1
CVE-2019-5488,2019-01-07T17:29:00.437,Modified,7.5,HIGH,3.0
CVE-2019-5489,2019-01-07T17:29:00.470,Modified,5.5,MEDIUM,3.0
CVE-2019-5720,2019-01-08T10:29:00.193,Modified,9.8,CRITICAL,3.0
CVE-2019-0238,2019-01-08T20:29:00.437,Modified,6.1,MEDIUM,3.0
CVE-2019-0240,2019-01-08T20:29:00.517,Modified,7.5,HIGH,3.0
CVE-2019-0241,2019-01-08T20:29:00.597,Modified,7.5,HIGH,3.0
CVE-2019-0243,2019-01-08T20:29:00.657,Modified,8.8,HIGH,3.0
