cve_id,published,vulnStatus,baseScore,baseSeverity,cvssVersion
CVE-2020-0001,2020-01-08 19:15:12.843000+00:00,Modified,7.8,HIGH,3.1
CVE-2020-0002,2020-01-08 19:15:12.923000+00:00,Modified,8.8,HIGH,3.1
CVE-2020-0015,2020-02-13 15:15:11.297000+00:00,Modified,7.8,HIGH,3.1
CVE-2020-0016,2020-12-14 23:15:11.453000+00:00,Modified,7.8,HIGH,3.1
CVE-2020-0022,2020-02-13 15:15:11.780000+00:00,Modified,8.8,HIGH,3.1
CVE-2020-0024,2020-05-14 21:15:11.523000+00:00,Modified,7.8,HIGH,3.1
CVE-2020-0025,2021-03-10 16:15:13.970000+00:00,Modified,7.8,HIGH,3.1
CVE-2020-0026,2020-02-13 15:15:11.953000+00:00,Modified,7.8,HIGH,3.1
CVE-2020-0027,2020-02-13 15:15:12.013000+00:00,Modified,7.8,HIGH,3.1
CVE-2020-0030,2020-02-13 15:15:12.157000+00:00,Modified,7.0,HIGH,3.1
CVE-2020-0032,2020-03-10 20:15:20.773000+00:00,Modified,8.8,HIGH,3.1
CVE-2020-0033,2020-03-10 20:15:20.853000+00:00,Modified,7.8,HIGH,3.1
CVE-2020-0034,2020-03-10 20:15:20.930000+00:00,Modified,7.5,HIGH,3.1
CVE-2020-0036,2020-03-10 20:15:21.070000+00:00,Modified,7.8,HIGH,3.1
CVE-2020-0037,2020-03-10 20:15:21.163000+00:00,Modified,7.5,HIGH,3.1
CVE-2020-0038,2020-03-10 20:15:21.257000+00:00,Modified,7.5,HIGH,3.1
CVE-2020-0039,2020-03-10 20:15:21.320000+00:00,Modified,7.5,HIGH,3.1
CVE-2020-0041,2020-03-10 20:15:21.383000+00:00,Analyzed,7.8,HIGH,3.1
CVE-2020-0046,2020-03-10 21:15:11.997000+00:00,Modified,7.8,HIGH,3.1
CVE-2020-0051,2020-03-10 21:15:12.450000+00:00,Modified,7.8,HIGH,3.1
CVE-2020-0054,2020-03-10 21:15:12.700000+00:00,Modified,7.8,HIGH,3.1
CVE-2020-0062,2020-03-10 21:15:13.027000+00:00,Modified,7.5,HIGH,3.1
CVE-2020-0063,2020-03-10 21:15:13.120000+00:00,Modified,7.3,HIGH,3.1
CVE-2020-0069,2020-03-10 20:15:21.947000+00:00,Analyzed,7.8,HIGH,3.1
CVE-2020-0070,2020-04-17 19:15:13.373000+00:00,Modified,9.8,CRITICAL,3.1
CVE-2020-0071,2020-04-17 19:15:13.437000+00:00,Modified,9.8,CRITICAL,3.1
CVE-2020-0072,2020-04-17 19:15:13.483000+00:00,Modified,9.8,CRITICAL,3.1
CVE-2020-0073,2020-04-17 19:15:13.527000+00:00,Modified,9.8,CRITICAL,3.1
CVE-2020-0074,2020-09-17 16:15:12.207000+00:00,Modified,7.8,HIGH,3.1
CVE-2020-0078,2020-04-17 19:15:13.733000+00:00,Modified,7.8,HIGH,3.1
CVE-2020-0079,2020-04-17 19:15:13.793000+00:00,Modified,7.8,HIGH,3.1
CVE-2020-0080,2020-04-17 19:15:13.840000+00:00,Modified,7.8,HIGH,3.1
CVE-2020-0081,2020-04-17 19:15:13.903000+00:00,Modified,7.8,HIGH,3.1
CVE-2020-0082,2020-04-17 19:15:13.950000+00:00,Modified,7.8,HIGH,3.1
CVE-2020-0083,2020-03-10 20:15:22.023000+00:00,Modified,7.5,HIGH,3.1
CVE-2020-0084,2020-03-10 21:15:13.277000+00:00,Modified,7.8,HIGH,3.1
CVE-2020-0085,2020-03-10 21:15:13.357000+00:00,Modified,7.8,HIGH,3.1
CVE-2020-0086,2020-03-15 22:15:13.973000+00:00,Modified,9.8,CRITICAL,3.1
CVE-2020-0089,2020-09-18 15:15:13.157000+00:00,Modified,7.8,HIGH,3.1
CVE-2020-0094,2020-05-14 21:15:11.930000+00:00,Modified,7.8,HIGH,3.1
CVE-2020-0096,2020-05-14 21:15:11.993000+00:00,Modified,7.8,HIGH,3.1
CVE-2020-0097,2020-05-14 21:15:12.040000+00:00,Modified,7.8,HIGH,3.1
CVE-2020-0098,2020-05-14 21:15:12.117000+00:00,Modified,7.8,HIGH,3.1
CVE-2020-0099,2020-12-14 22:15:13.597000+00:00,Modified,7.8,HIGH,3.1
CVE-2020-0102,2020-05-14 21:15:12.273000+00:00,Modified,7.8,HIGH,3.1
CVE-2020-0103,2020-05-14 21:15:12.337000+00:00,Modified,9.8,CRITICAL,3.1
CVE-2020-0105,2020-05-14 21:15:12.477000+00:00,Modified,7.8,HIGH,3.1
CVE-2020-0108,2020-08-11 20:15:11.887000+00:00,Modified,7.8,HIGH,3.1
CVE-2020-0109,2020-05-14 21:15:12.587000+00:00,Modified,7.8,HIGH,3.1
CVE-2020-0110,2020-05-14 21:15:12.650000+00:00,Modified,7.8,HIGH,3.1
CVE-2020-0114,2020-06-10 18:15:10.140000+00:00,Modified,7.8,HIGH,3.1
CVE-2020-0115,2020-06-10 18:15:10.203000+00:00,Modified,7.8,HIGH,3.1
CVE-2020-0117,2020-06-10 18:15:10.327000+00:00,Modified,9.8,CRITICAL,3.1
CVE-2020-0118,2020-06-10 18:15:10.407000+00:00,Modified,7.8,HIGH,3.1
CVE-2020-0120,2020-07-17 20:15:11.273000+00:00,Modified,7.8,HIGH,3.1
CVE-2020-0123,2020-09-17 16:15:12.427000+00:00,Modified,9.8,CRITICAL,3.1
CVE-2020-0128,2020-06-11 15:15:12.270000+00:00,Modified,7.5,HIGH,3.1
CVE-2020-0129,2020-06-11 15:15:12.333000+00:00,Modified,7.8,HIGH,3.1
CVE-2020-0130,2020-09-17 21:15:12.690000+00:00,Modified,7.8,HIGH,3.1
CVE-2020-0131,2020-06-11 15:15:12.410000+00:00,Modified,8.8,HIGH,3.1
CVE-2020-0133,2020-06-11 15:15:12.550000+00:00,Modified,7.3,HIGH,3.1
CVE-2020-0136,2020-06-11 15:15:12.737000+00:00,Modified,7.8,HIGH,3.1
CVE-2020-0137,2020-06-11 15:15:12.817000+00:00,Modified,7.8,HIGH,3.1
CVE-2020-0138,2020-06-11 15:15:12.880000+00:00,Modified,9.8,CRITICAL,3.1
CVE-2020-0140,2020-06-11 15:15:13.003000+00:00,Modified,7.5,HIGH,3.1
CVE-2020-0142,2020-06-11 15:15:13.143000+00:00,Modified,7.5,HIGH,3.1
CVE-2020-0150,2020-06-11 15:15:13.660000+00:00,Modified,7.8,HIGH,3.1
CVE-2020-0155,2020-06-11 15:15:13.973000+00:00,Modified,7.8,HIGH,3.1
CVE-2020-0160,2020-06-11 15:15:14.287000+00:00,Modified,8.8,HIGH,3.1
CVE-2020-0166,2020-06-11 15:15:14.677000+00:00,Modified,7.8,HIGH,3.1
CVE-2020-0168,2020-06-11 15:15:14.817000+00:00,Modified,8.8,HIGH,3.1
CVE-2020-0176,2020-06-11 15:15:15.363000+00:00,Modified,7.5,HIGH,3.1
CVE-2020-0179,2020-06-11 15:15:15.567000+00:00,Modified,7.8,HIGH,3.1
CVE-2020-0181,2020-06-11 15:15:15.847000+00:00,Modified,7.5,HIGH,3.1
CVE-2020-0183,2020-06-11 15:15:15.973000+00:00,Modified,7.8,HIGH,3.1
CVE-2020-0188,2020-06-11 15:15:16.300000+00:00,Modified,7.8,HIGH,3.1
CVE-2020-0190,2020-06-11 15:15:16.427000+00:00,Modified,8.8,HIGH,3.1
CVE-2020-0194,2020-06-11 15:15:16.690000+00:00,Modified,8.8,HIGH,3.1
CVE-2020-0198,2020-06-11 15:15:16.940000+00:00,Modified,7.5,HIGH,3.1
CVE-2020-0201,2020-06-11 15:15:17.143000+00:00,Modified,9.8,CRITICAL,3.1
CVE-2020-0202,2020-06-11 15:15:17.207000+00:00,Modified,7.8,HIGH,3.1
CVE-2020-0203,2020-06-11 15:15:17.270000+00:00,Modified,7.8,HIGH,3.1
CVE-2020-0204,2020-06-11 15:15:17.333000+00:00,Modified,7.0,HIGH,3.1
CVE-2020-0208,2020-06-11 15:15:17.613000+00:00,Modified,7.8,HIGH,3.1
CVE-2020-0209,2020-06-11 15:15:17.690000+00:00,Modified,7.8,HIGH,3.1
CVE-2020-0210,2020-06-11 15:15:17.753000+00:00,Modified,7.8,HIGH,3.1
CVE-2020-0214,2020-06-11 15:15:18.097000+00:00,Modified,7.5,HIGH,3.1
CVE-2020-0215,2020-06-11 15:15:18.160000+00:00,Modified,7.8,HIGH,3.1
CVE-2020-0216,2020-06-11 15:15:18.237000+00:00,Modified,7.8,HIGH,3.1
CVE-2020-0217,2020-06-11 15:15:18.300000+00:00,Modified,9.8,CRITICAL,3.1
CVE-2020-0218,2020-06-11 15:15:18.380000+00:00,Modified,7.0,HIGH,3.1
CVE-2020-0219,2020-06-11 15:15:18.440000+00:00,Modified,7.8,HIGH,3.1
CVE-2020-0221,2020-05-14 21:15:12.773000+00:00,Modified,9.8,CRITICAL,3.1
CVE-2020-0223,2020-06-16 14:15:10.540000+00:00,Modified,9.8,CRITICAL,3.1
CVE-2020-0224,2020-07-17 21:15:12.310000+00:00,Modified,9.8,CRITICAL,3.1
CVE-2020-0225,2020-07-17 21:15:12.373000+00:00,Modified,9.8,CRITICAL,3.1
CVE-2020-0226,2020-07-17 21:15:12.437000+00:00,Modified,7.8,HIGH,3.1
CVE-2020-0227,2020-07-17 21:15:12.497000+00:00,Modified,7.8,HIGH,3.1
CVE-2020-0228,2020-07-17 21:15:12.560000+00:00,Modified,7.5,HIGH,3.1
CVE-2020-0229,2020-09-17 16:15:12.507000+00:00,Modified,9.8,CRITICAL,3.1
CVE-2020-0230,2020-07-17 21:15:12.640000+00:00,Modified,9.8,CRITICAL,3.1
CVE-2020-0231,2020-07-17 21:15:12.700000+00:00,Modified,9.8,CRITICAL,3.1
CVE-2020-0232,2020-06-16 14:15:10.603000+00:00,Modified,9.8,CRITICAL,3.1
CVE-2020-0233,2020-06-11 15:15:18.520000+00:00,Modified,7.8,HIGH,3.1
CVE-2020-0234,2020-06-16 14:15:10.650000+00:00,Modified,7.8,HIGH,3.1
CVE-2020-0235,2020-06-16 14:15:10.713000+00:00,Modified,9.8,CRITICAL,3.1
CVE-2020-0236,2021-01-26 18:15:31.567000+00:00,Modified,7.5,HIGH,3.1
CVE-2020-0238,2020-08-11 20:15:11.947000+00:00,Modified,7.0,HIGH,3.1
CVE-2020-0240,2020-08-11 20:15:12.073000+00:00,Modified,8.8,HIGH,3.1
CVE-2020-0241,2020-08-11 20:15:12.120000+00:00,Modified,7.8,HIGH,3.1
CVE-2020-0242,2020-08-11 20:15:12.183000+00:00,Modified,7.8,HIGH,3.1
CVE-2020-0243,2020-08-11 20:15:12.243000+00:00,Modified,7.8,HIGH,3.1
CVE-2020-0245,2020-09-17 16:15:12.567000+00:00,Modified,8.8,HIGH,3.1
CVE-2020-0251,2020-08-11 20:15:12.527000+00:00,Modified,7.5,HIGH,3.1
CVE-2020-0252,2020-08-11 20:15:12.587000+00:00,Modified,9.8,CRITICAL,3.1
CVE-2020-0253,2020-08-11 20:15:12.650000+00:00,Modified,9.8,CRITICAL,3.1
CVE-2020-0254,2020-08-11 20:15:12.713000+00:00,Modified,7.5,HIGH,3.1
CVE-2020-0257,2020-08-11 20:15:12.837000+00:00,Modified,7.8,HIGH,3.1
CVE-2020-0259,2020-08-11 20:15:12.947000+00:00,Modified,7.8,HIGH,3.1
CVE-2020-0260,2020-08-11 20:15:13.010000+00:00,Modified,9.1,CRITICAL,3.1
CVE-2020-0261,2020-08-13 16:15:13.170000+00:00,Modified,7.8,HIGH,3.1
CVE-2020-0262,2020-09-18 15:15:13.217000+00:00,Modified,7.8,HIGH,3.1
CVE-2020-0264,2020-09-17 21:15:12.753000+00:00,Modified,8.8,HIGH,3.1
CVE-2020-0266,2020-09-17 21:15:12.830000+00:00,Modified,7.8,HIGH,3.1
CVE-2020-0267,2020-09-17 21:15:12.893000+00:00,Modified,7.8,HIGH,3.1
