cve_id,published,vulnStatus,baseScore,baseSeverity,cvssVersion
CVE-2021-0002,2021-08-11 13:15:15.513000+00:00,Modified,7.1,HIGH,3.1
CVE-2021-0013,2021-11-17 20:15:08.503000+00:00,Modified,7.5,HIGH,3.1
CVE-2021-0052,2021-06-09 20:15:08.240000+00:00,Modified,7.8,HIGH,3.1
CVE-2021-0055,2021-06-09 20:15:08.297000+00:00,Modified,7.8,HIGH,3.1
CVE-2021-0056,2021-06-09 20:15:08.323000+00:00,Modified,7.8,HIGH,3.1
CVE-2021-0057,2021-06-09 20:15:08.350000+00:00,Modified,7.8,HIGH,3.1
CVE-2021-0058,2021-06-09 20:15:08.380000+00:00,Modified,7.8,HIGH,3.1
CVE-2021-0061,2021-08-11 13:15:15.853000+00:00,Modified,7.8,HIGH,3.1
CVE-2021-0062,2021-08-11 13:15:15.887000+00:00,Modified,7.8,HIGH,3.1
CVE-2021-0064,2021-11-17 20:15:08.643000+00:00,Modified,7.8,HIGH,3.1
CVE-2021-0065,2021-11-17 20:15:08.707000+00:00,Modified,7.8,HIGH,3.1
CVE-2021-0066,2022-02-09 23:15:10.900000+00:00,Modified,8.4,HIGH,3.1
CVE-2021-0070,2021-06-09 19:15:09.297000+00:00,Modified,8.8,HIGH,3.1
CVE-2021-0071,2021-11-17 20:15:08.797000+00:00,Modified,8.8,HIGH,3.1
CVE-2021-0073,2021-06-09 20:15:08.433000+00:00,Modified,7.8,HIGH,3.1
CVE-2021-0074,2021-06-09 20:15:08.460000+00:00,Modified,7.8,HIGH,3.1
CVE-2021-0077,2021-06-09 20:15:08.487000+00:00,Modified,7.8,HIGH,3.1
CVE-2021-0078,2021-11-17 20:15:08.897000+00:00,Modified,8.1,HIGH,3.1
CVE-2021-0082,2021-11-17 20:15:08.987000+00:00,Modified,7.8,HIGH,3.1
CVE-2021-0084,2021-08-11 13:15:15.957000+00:00,Modified,7.8,HIGH,3.1
CVE-2021-0090,2021-06-09 20:15:08.573000+00:00,Modified,7.3,HIGH,3.1
CVE-2021-0091,2022-02-09 23:15:11.017000+00:00,Modified,7.8,HIGH,3.1
CVE-2021-0094,2021-06-09 20:15:08.603000+00:00,Modified,7.8,HIGH,3.1
CVE-2021-0096,2021-11-17 19:15:08.277000+00:00,Modified,7.8,HIGH,3.1
CVE-2021-0098,2021-06-09 20:15:08.633000+00:00,Modified,7.8,HIGH,3.1
CVE-2021-0099,2022-02-09 23:15:11.137000+00:00,Modified,7.8,HIGH,3.1
CVE-2021-0100,2021-06-09 20:15:08.660000+00:00,Modified,7.8,HIGH,3.1
CVE-2021-0101,2021-06-09 19:15:09.393000+00:00,Modified,8.8,HIGH,3.1
CVE-2021-0102,2021-06-09 20:15:08.687000+00:00,Modified,7.8,HIGH,3.1
CVE-2021-0104,2021-06-09 20:15:08.713000+00:00,Modified,7.8,HIGH,3.1
CVE-2021-0105,2021-06-09 19:15:09.427000+00:00,Modified,7.3,HIGH,3.1
CVE-2021-0106,2021-06-09 20:15:08.740000+00:00,Modified,7.8,HIGH,3.1
CVE-2021-0108,2021-06-09 20:15:08.770000+00:00,Modified,7.3,HIGH,3.1
CVE-2021-0109,2021-02-17 14:15:19.077000+00:00,Modified,7.8,HIGH,3.1
CVE-2021-0112,2021-06-09 20:15:08.803000+00:00,Modified,7.3,HIGH,3.1
CVE-2021-0116,2022-02-09 23:15:13.563000+00:00,Modified,7.8,HIGH,3.1
CVE-2021-0117,2022-02-09 23:15:13.607000+00:00,Modified,7.8,HIGH,3.1
CVE-2021-0121,2021-11-17 19:15:08.333000+00:00,Modified,7.8,HIGH,3.1
CVE-2021-0126,2022-05-12 17:15:08.373000+00:00,Modified,8.0,HIGH,3.1
CVE-2021-0133,2021-06-09 20:15:08.923000+00:00,Modified,8.1,HIGH,3.1
CVE-2021-0143,2021-06-17 12:15:07.890000+00:00,Modified,7.8,HIGH,3.1
CVE-2021-0151,2021-11-17 20:15:09.277000+00:00,Modified,7.8,HIGH,3.1
CVE-2021-0153,2022-05-12 17:15:08.423000+00:00,Modified,7.8,HIGH,3.1
CVE-2021-0154,2022-05-12 17:15:08.470000+00:00,Modified,7.8,HIGH,3.1
CVE-2021-0156,2022-02-09 23:15:13.943000+00:00,Modified,7.8,HIGH,3.1
CVE-2021-0159,2022-05-12 17:15:08.557000+00:00,Modified,7.8,HIGH,3.1
CVE-2021-0160,2021-08-11 13:15:15.990000+00:00,Modified,7.8,HIGH,3.1
CVE-2021-0162,2022-02-09 23:15:14.020000+00:00,Modified,8.8,HIGH,3.1
CVE-2021-0163,2022-02-09 23:15:14.060000+00:00,Modified,8.8,HIGH,3.1
CVE-2021-0164,2022-02-09 23:15:14.100000+00:00,Modified,7.8,HIGH,3.1
CVE-2021-0180,2021-11-17 20:15:09.457000+00:00,Modified,8.4,HIGH,3.1
CVE-2021-0185,2022-11-10 23:15:09.860000+00:00,Modified,7.5,HIGH,3.1
CVE-2021-0187,2023-02-16 20:15:12.210000+00:00,Modified,8.2,HIGH,3.1
CVE-2021-0188,2022-05-12 17:15:08.597000+00:00,Modified,7.8,HIGH,3.1
CVE-2021-0189,2022-05-12 17:15:08.637000+00:00,Modified,7.8,HIGH,3.1
CVE-2021-0190,2022-05-12 17:15:08.683000+00:00,Modified,7.8,HIGH,3.1
CVE-2021-0193,2022-05-12 17:15:08.733000+00:00,Modified,7.2,HIGH,3.1
CVE-2021-0194,2022-05-12 17:15:08.783000+00:00,Modified,7.2,HIGH,3.1
CVE-2021-0196,2021-08-11 13:15:16.023000+00:00,Modified,7.8,HIGH,3.1
CVE-2021-0202,2021-01-15 18:15:14.370000+00:00,Modified,7.5,HIGH,3.1
CVE-2021-0203,2021-01-15 18:15:14.543000+00:00,Modified,8.6,HIGH,3.1
CVE-2021-0204,2021-01-15 18:15:14.637000+00:00,Modified,7.8,HIGH,3.1
CVE-2021-0206,2021-01-15 18:15:14.777000+00:00,Modified,7.5,HIGH,3.1
CVE-2021-0207,2021-01-15 18:15:14.840000+00:00,Modified,7.5,HIGH,3.1
CVE-2021-0208,2021-01-15 18:15:14.947000+00:00,Modified,8.8,HIGH,3.1
CVE-2021-0211,2021-01-15 18:15:15.167000+00:00,Modified,10.0,CRITICAL,3.1
CVE-2021-0217,2021-01-15 18:15:15.417000+00:00,Modified,7.4,HIGH,3.1
CVE-2021-0218,2021-01-15 18:15:15.510000+00:00,Modified,7.8,HIGH,3.1
CVE-2021-0222,2021-01-15 18:15:15.823000+00:00,Modified,7.4,HIGH,3.1
CVE-2021-0223,2021-01-15 18:15:15.900000+00:00,Modified,7.8,HIGH,3.1
CVE-2021-0226,2021-04-22 20:15:08.497000+00:00,Modified,7.5,HIGH,3.1
CVE-2021-0227,2021-04-22 20:15:08.533000+00:00,Modified,7.5,HIGH,3.1
CVE-2021-0230,2021-04-22 20:15:08.640000+00:00,Modified,7.5,HIGH,3.1
CVE-2021-0232,2021-04-22 20:15:08.707000+00:00,Modified,7.4,HIGH,3.1
CVE-2021-0233,2021-04-22 20:15:08.740000+00:00,Modified,7.5,HIGH,3.1
CVE-2021-0235,2021-04-22 20:15:08.810000+00:00,Modified,7.3,HIGH,3.1
CVE-2021-0240,2021-04-22 20:15:08.977000+00:00,Modified,7.4,HIGH,3.1
CVE-2021-0241,2021-04-22 20:15:09.023000+00:00,Modified,7.4,HIGH,3.1
CVE-2021-0244,2021-04-22 20:15:09.127000+00:00,Modified,7.4,HIGH,3.1
CVE-2021-0245,2021-04-22 20:15:09.157000+00:00,Modified,7.8,HIGH,3.1
CVE-2021-0246,2021-04-22 20:15:09.190000+00:00,Modified,7.3,HIGH,3.1
CVE-2021-0248,2021-04-22 20:15:09.257000+00:00,Modified,10.0,CRITICAL,3.1
CVE-2021-0249,2021-04-22 20:15:09.293000+00:00,Modified,9.8,CRITICAL,3.1
CVE-2021-0250,2021-04-22 20:15:09.327000+00:00,Modified,7.5,HIGH,3.1
