cve_id,published,vulnStatus,baseScore,baseSeverity,cvssVersion
CVE-2023-0028,2023-01-01T01:15:12.627,Modified,5.7,MEDIUM,3.1
CVE-2023-0029,2023-01-01T14:15:09.963,Modified,7.5,HIGH,3.1
CVE-2023-22551,2023-01-01T18:15:17.157,Modified,7.5,HIGH,3.1
CVE-2023-22451,2023-01-02T16:15:11.063,Modified,8.8,HIGH,3.1
CVE-2023-22452,2023-01-02T20:15:10.163,Modified,6.5,MEDIUM,3.1
CVE-2023-0038,2023-01-03T14:15:10.390,Modified,7.2,HIGH,3.1
CVE-2023-0039,2023-01-03T15:15:10.530,Rejected,,,
CVE-2023-22456,2023-01-03T19:15:10.483,Modified,6.1,MEDIUM,3.1
CVE-2023-0046,2023-01-04T12:15:08.613,Modified,7.2,HIGH,3.1
CVE-2023-0048,2023-01-04T14:15:10.117,Modified,8.8,HIGH,3.1
CVE-2023-22457,2023-01-04T15:15:09.350,Modified,9.0,CRITICAL,3.1
CVE-2023-22460,2023-01-04T15:15:09.437,Modified,7.5,HIGH,3.1
CVE-2023-22461,2023-01-04T15:15:09.510,Modified,7.6,HIGH,3.1
CVE-2023-0049,2023-01-04T16:15:09.047,Modified,7.8,HIGH,3.1
CVE-2023-22463,2023-01-04T16:15:09.143,Modified,9.8,CRITICAL,3.1
CVE-2023-22464,2023-01-04T16:15:09.237,Modified,5.4,MEDIUM,3.1
CVE-2023-22465,2023-01-04T16:15:09.323,Modified,7.5,HIGH,3.1
CVE-2023-0051,2023-01-04T18:15:09.287,Modified,7.8,HIGH,3.1
CVE-2023-0054,2023-01-04T19:15:09.573,Modified,7.8,HIGH,3.1
CVE-2023-0055,2023-01-04T22:15:09.180,Modified,5.3,MEDIUM,3.1
CVE-2023-22466,2023-01-04T22:15:09.267,Modified,5.4,MEDIUM,3.1
CVE-2023-22467,2023-01-04T22:15:09.357,Modified,7.5,HIGH,3.1
CVE-2023-0057,2023-01-05T01:15:09.123,Modified,6.1,MEDIUM,3.1
CVE-2023-22622,2023-01-05T02:15:07.980,Modified,5.3,MEDIUM,3.1
CVE-2023-22626,2023-01-05T08:15:08.947,Modified,7.5,HIGH,3.1
CVE-2023-0077,2023-01-05T10:15:10.147,Modified,9.8,CRITICAL,3.1
CVE-2023-0086,2023-01-05T17:15:09.543,Modified,6.5,MEDIUM,3.1
CVE-2023-0087,2023-01-05T19:15:09.600,Modified,5.5,MEDIUM,3.1
CVE-2023-0088,2023-01-05T19:15:09.687,Modified,8.8,HIGH,3.1
CVE-2023-22453,2023-01-05T20:15:18.743,Modified,5.3,MEDIUM,3.1
CVE-2023-22454,2023-01-05T20:15:18.900,Modified,8.0,HIGH,3.1
CVE-2023-22455,2023-01-05T21:15:09.157,Modified,6.8,MEDIUM,3.1
CVE-2023-22671,2023-01-06T07:15:08.583,Modified,9.8,CRITICAL,3.1
CVE-2023-22475,2023-01-06T15:15:09.903,Modified,6.3,MEDIUM,3.1
CVE-2023-0106,2023-01-07T04:15:08.083,Modified,5.4,MEDIUM,3.1
