cve_id,published,vulnStatus,baseScore,baseSeverity,cvssVersion
CVE-2019-0001,2019-01-15 21:29:00.760000+00:00,Modified,7.5,HIGH,3.1
CVE-2019-0002,2019-01-15 21:29:00.823000+00:00,Modified,9.8,CRITICAL,3.1
CVE-2019-0006,2019-01-15 21:29:01.027000+00:00,Modified,9.8,CRITICAL,3.1
CVE-2019-0007,2019-01-15 21:29:01.087000+00:00,Modified,10.0,CRITICAL,3.0
CVE-2019-0008,2019-04-10 20:29:00.380000+00:00,Modified,9.8,CRITICAL,3.1
CVE-2019-0010,2019-01-15 21:29:01.197000+00:00,Modified,7.5,HIGH,3.0
CVE-2019-0012,2019-01-15 21:29:01.277000+00:00,Modified,7.5,HIGH,3.1
CVE-2019-0013,2019-01-15 21:29:01.337000+00:00,Modified,7.5,HIGH,3.0
CVE-2019-0014,2019-01-15 21:29:01.387000+00:00,Modified,7.5,HIGH,3.0
CVE-2019-0017,2019-01-15 21:29:01.493000+00:00,Modified,8.8,HIGH,3.0
CVE-2019-0019,2019-04-10 20:29:00.413000+00:00,Modified,7.5,HIGH,3.1
CVE-2019-0020,2019-01-15 21:29:01.587000+00:00,Modified,10.0,CRITICAL,3.0
CVE-2019-0021,2019-01-15 21:29:01.637000+00:00,Modified,7.1,HIGH,3.0
CVE-2019-0022,2019-01-15 21:29:01.683000+00:00,Modified,10.0,CRITICAL,3.0
CVE-2019-0028,2019-04-10 20:29:00.460000+00:00,Modified,7.5,HIGH,3.1
CVE-2019-0029,2019-01-15 21:29:01.980000+00:00,Modified,8.8,HIGH,3.0
CVE-2019-0030,2019-01-15 21:29:02.027000+00:00,Modified,7.2,HIGH,3.1
CVE-2019-0031,2019-04-10 20:29:00.490000+00:00,Modified,7.5,HIGH,3.1
CVE-2019-0032,2019-04-10 20:29:00.537000+00:00,Modified,7.8,HIGH,3.1
CVE-2019-0033,2019-04-10 20:29:00.583000+00:00,Modified,7.5,HIGH,3.0
CVE-2019-0036,2019-04-10 20:29:00.757000+00:00,Modified,9.8,CRITICAL,3.1
CVE-2019-0037,2019-04-10 20:29:00.787000+00:00,Modified,7.5,HIGH,3.1
CVE-2019-0039,2019-04-10 20:29:00.850000+00:00,Modified,8.1,HIGH,3.1
CVE-2019-0040,2019-04-10 20:29:00.897000+00:00,Modified,9.1,CRITICAL,3.1
CVE-2019-0041,2019-04-10 20:29:00.943000+00:00,Modified,8.6,HIGH,3.1
CVE-2019-0043,2019-04-10 20:29:01.023000+00:00,Modified,7.5,HIGH,3.1
CVE-2019-0044,2019-04-10 20:29:01.053000+00:00,Modified,7.5,HIGH,3.1
CVE-2019-0047,2019-10-09 20:15:16.037000+00:00,Modified,8.8,HIGH,3.1
CVE-2019-0049,2019-07-11 20:15:11.333000+00:00,Modified,7.5,HIGH,3.1
CVE-2019-0050,2019-10-09 20:15:16.160000+00:00,Modified,7.5,HIGH,3.1
CVE-2019-0051,2019-10-09 20:15:16.253000+00:00,Modified,7.5,HIGH,3.1
CVE-2019-0052,2019-07-11 20:15:11.397000+00:00,Modified,7.5,HIGH,3.1
CVE-2019-0053,2019-07-11 20:15:11.960000+00:00,Modified,7.8,HIGH,3.1
CVE-2019-0054,2019-10-09 20:15:16.347000+00:00,Modified,7.4,HIGH,3.1
CVE-2019-0055,2019-10-09 20:15:16.473000+00:00,Modified,7.5,HIGH,3.1
CVE-2019-0056,2019-10-09 20:15:16.583000+00:00,Modified,7.5,HIGH,3.1
CVE-2019-0057,2019-10-09 20:15:16.690000+00:00,Modified,7.8,HIGH,3.1
CVE-2019-0058,2019-10-09 20:15:16.787000+00:00,Modified,7.8,HIGH,3.1
CVE-2019-0059,2019-10-09 20:15:16.893000+00:00,Modified,7.5,HIGH,3.1
CVE-2019-0060,2019-10-09 20:15:16.987000+00:00,Modified,7.5,HIGH,3.1
CVE-2019-0061,2019-10-09 20:15:17.097000+00:00,Modified,7.8,HIGH,3.1
CVE-2019-0062,2019-10-09 20:15:17.223000+00:00,Modified,8.8,HIGH,3.1
CVE-2019-0063,2019-10-09 20:15:17.333000+00:00,Modified,7.5,HIGH,3.1
CVE-2019-0064,2019-10-09 20:15:17.427000+00:00,Modified,7.5,HIGH,3.1
CVE-2019-0065,2019-10-09 20:15:17.520000+00:00,Modified,7.5,HIGH,3.1
CVE-2019-0066,2019-10-09 20:15:17.630000+00:00,Modified,7.5,HIGH,3.1
CVE-2019-0068,2019-10-09 20:15:17.800000+00:00,Modified,7.5,HIGH,3.1
CVE-2019-0070,2019-10-09 20:15:18.020000+00:00,Modified,8.8,HIGH,3.1
CVE-2019-0071,2019-10-09 20:15:18.097000+00:00,Modified,7.8,HIGH,3.1
CVE-2019-0073,2019-10-09 20:15:18.287000+00:00,Modified,7.1,HIGH,3.1
CVE-2019-0075,2019-10-09 20:15:18.520000+00:00,Modified,7.5,HIGH,3.1
CVE-2019-0086,2019-05-17 16:29:00.797000+00:00,Modified,7.8,HIGH,3.0
CVE-2019-0088,2019-01-10 20:29:00.517000+00:00,Modified,7.8,HIGH,3.0
CVE-2019-0090,2019-05-17 16:29:00.937000+00:00,Modified,7.1,HIGH,3.1
CVE-2019-0091,2019-05-17 16:29:01.017000+00:00,Modified,7.8,HIGH,3.0
CVE-2019-0096,2019-05-17 16:29:01.283000+00:00,Modified,8.0,HIGH,3.1
CVE-2019-0101,2019-02-18 17:29:00.363000+00:00,Modified,9.8,CRITICAL,3.0
CVE-2019-0102,2019-02-18 17:29:00.407000+00:00,Modified,8.8,HIGH,3.0
CVE-2019-0105,2019-02-18 17:29:00.533000+00:00,Modified,7.8,HIGH,3.0
CVE-2019-0109,2019-02-18 17:29:00.720000+00:00,Modified,7.8,HIGH,3.0
CVE-2019-0121,2019-03-14 20:29:01.507000+00:00,Modified,7.8,HIGH,3.0
CVE-2019-0122,2019-03-14 20:29:01.537000+00:00,Modified,7.1,HIGH,3.0
CVE-2019-0123,2019-11-14 20:15:11.290000+00:00,Modified,7.8,HIGH,3.1
CVE-2019-0124,2019-11-14 20:15:11.353000+00:00,Modified,7.8,HIGH,3.1
CVE-2019-0128,2019-06-13 16:29:00.357000+00:00,Modified,7.8,HIGH,3.1
CVE-2019-0129,2019-03-14 20:29:01.567000+00:00,Modified,7.8,HIGH,3.0
CVE-2019-0130,2019-06-13 16:29:00.403000+00:00,Modified,7.4,HIGH,3.1
CVE-2019-0131,2019-12-18 22:15:11.533000+00:00,Modified,8.1,HIGH,3.1
CVE-2019-0132,2019-05-17 16:29:01.970000+00:00,Modified,7.5,HIGH,3.1
CVE-2019-0134,2019-12-16 20:15:14.257000+00:00,Modified,7.8,HIGH,3.1
CVE-2019-0135,2019-03-14 20:29:01.600000+00:00,Modified,7.8,HIGH,3.1
CVE-2019-0136,2019-06-13 16:29:00.763000+00:00,Modified,7.4,HIGH,3.0
CVE-2019-0138,2019-05-17 16:29:02.047000+00:00,Modified,7.8,HIGH,3.0
CVE-2019-0140,2019-11-14 19:15:11.923000+00:00,Modified,8.8,HIGH,3.1
CVE-2019-0142,2019-11-14 19:15:11.987000+00:00,Modified,8.2,HIGH,3.1
CVE-2019-0145,2019-11-14 19:15:12.207000+00:00,Modified,7.8,HIGH,3.1
CVE-2019-0153,2019-05-17 16:29:02.093000+00:00,Modified,9.8,CRITICAL,3.0
CVE-2019-0155,2019-11-14 19:15:12.877000+00:00,Modified,7.8,HIGH,3.1
